,Peak CCU,DLC count,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Average playtime forever,Median playtime forever
17729,0,0,0,0,3,6,0,0,0,0
17730,0,0,0,0,47,14,0,0,242,220
17731,0,0,0,0,0,0,0,0,0,0
17732,0,0,0,0,20,7,14,0,0,0
17733,0,0,0,0,3,0,0,0,0,0
17734,0,0,0,0,2,0,7,0,0,0
17735,9,6,0,0,593,436,41,219,0,0
17736,0,0,0,0,0,0,0,0,0,0
17737,0,0,0,0,5,1,8,0,0,0
17738,371,0,0,0,59,36,38,0,239,239
17739,0,0,0,0,4,2,8,0,0,0
17740,0,0,0,0,2,1,12,0,0,0
17741,0,0,0,0,2,3,0,0,0,0
17742,0,0,0,0,0,0,0,0,0,0
17743,0,0,0,0,28,18,0,0,0,0
17744,0,0,0,0,0,0,0,0,0,0
17745,0,0,0,0,3,0,0,0,0,0
17746,0,0,0,0,0,0,0,0,0,0
17747,0,0,0,0,4,0,0,0,0,0
17748,0,0,0,0,1,4,12,0,0,0
17749,0,0,0,0,9,4,0,0,0,0
17750,0,0,0,0,17,7,0,0,0,0
17751,0,1,0,0,50,29,5,0,0,0
17752,0,0,0,0,1,0,0,0,0,0
17753,0,1,0,0,28,10,18,0,0,0
17754,0,0,0,0,16,0,8,0,0,0
17755,0,0,0,0,14,11,0,0,0,0
17756,0,0,0,0,1,0,10,0,0,0
17757,0,0,0,0,1,1,0,0,0,0
17758,8,0,0,0,1540,61,9,1184,1250,1250
17759,0,0,0,0,4,0,0,0,0,0
17760,0,0,0,0,0,0,0,0,0,0
17761,11,0,0,0,0,0,16,0,0,0
17762,1,0,0,0,181,3,13,148,0,0
17763,0,0,0,0,0,0,0,0,0,0
17764,0,0,0,0,13,1,2,0,0,0
17765,2,1,0,0,81,0,41,0,0,0
17766,0,0,0,0,0,0,4,0,0,0
17767,0,0,0,0,3,1,0,0,0,0
17768,6,0,0,0,66,100,0,158,13,13
17769,0,0,0,0,0,0,0,0,0,0
17770,0,0,0,0,655,222,24,813,44,44
17771,0,0,0,0,2,0,8,0,0,0
17772,1,0,0,0,7,2,0,0,0,0
17773,0,0,0,0,71,7,29,0,0,0
17774,2,0,0,0,661,33,13,638,0,0
17775,0,0,0,0,18,6,0,0,0,0
17776,0,1,0,0,3,3,19,0,0,0
17777,0,0,0,0,0,3,5,0,0,0
17778,0,0,0,0,1,0,0,0,0,0
17779,0,0,0,0,1,0,0,0,0,0
17780,0,0,0,0,0,1,0,0,0,0
17781,0,0,0,0,92,31,7,0,4,8
17782,2,0,0,0,561,157,16,672,211,211
17783,0,0,0,0,0,0,0,0,0,0
17784,0,0,0,0,33,9,30,0,0,0
17785,0,0,0,0,29,5,9,0,0,0
17786,0,0,0,0,133,2,0,0,0,0
17787,30,1,72,0,1477,1067,54,1669,430,133
17788,0,0,0,0,18,3,14,0,0,0
17789,0,0,0,0,427,7,0,396,0,0
17790,0,0,0,0,9,24,150,0,0,0
17791,0,0,0,0,2,0,0,0,0,0
17792,0,0,0,0,2,7,20,0,0,0
17793,1,0,0,0,370,80,14,189,66,68
17794,0,0,0,0,0,0,0,0,0,0
17795,1,0,0,0,23,1,0,0,0,0
17796,0,0,0,0,7,9,0,0,0,0
17797,1,0,0,0,139,16,10,108,184,219
17798,0,0,0,0,12,0,0,0,0,0
17799,0,0,0,0,6,3,0,0,0,0
17800,0,0,0,0,0,0,0,0,0,0
17801,0,0,0,0,0,1,0,0,0,0
17802,1,0,0,0,22,6,49,0,0,0
17803,0,0,0,0,12,4,0,0,0,0
17804,0,0,0,0,13,2,18,0,0,0
17805,0,0,0,0,13,10,8,0,0,0
17806,0,0,0,0,4,8,5,0,0,0
17807,0,0,0,0,11,3,1,0,0,0
17808,0,0,0,0,13,2,20,0,0,0
17809,0,1,0,0,14,3,15,0,0,0
17810,0,0,0,0,3,0,0,0,0,0
17811,0,0,0,0,67,25,25,0,359,359
17812,0,0,0,0,39,7,0,0,0,0
17813,0,1,0,0,5,7,0,0,0,0
17814,0,5,0,0,45,4,84,0,0,0
17815,0,0,0,0,0,0,0,0,0,0
17816,0,3,0,0,25,7,6,0,0,0
17817,544,3,0,0,5304,1531,70,5546,523,208
17818,0,0,0,0,3,0,0,0,0,0
17819,0,0,0,0,4,1,0,0,0,0
17820,0,0,0,0,29,3,20,0,0,0
17821,0,0,0,0,1,0,0,0,0,0
17822,0,0,0,0,106,14,0,114,0,0
17823,0,0,0,0,6,0,0,0,0,0
17824,1,0,0,0,126,2,0,121,0,0
17825,1,0,0,0,67,6,0,0,0,0
17826,0,0,0,0,0,0,0,0,0,0
17827,0,0,0,0,115,45,12,0,370,427
17828,0,0,0,0,10,39,40,0,0,0
17829,0,1,0,0,5,1,11,0,0,0
17830,0,0,0,0,10,4,0,0,0,0
17831,1,0,0,0,37,85,0,0,0,0
17832,0,0,0,0,0,0,0,0,0,0
17833,0,0,0,0,0,1,21,0,0,0
17834,0,0,0,0,7,8,3,0,0,0
17835,1,0,0,0,644,1232,0,1438,229,211
17836,0,0,0,0,5,4,0,0,0,0
17837,15,0,0,0,160,21,0,139,0,0
17838,0,0,0,0,16,5,0,0,0,0
17839,0,1,0,0,27,7,41,0,0,0
17840,0,1,0,0,23,12,50,0,0,0
17841,0,0,0,0,0,0,20,0,0,0
17842,0,0,0,0,8,2,0,0,0,0
17843,0,0,0,0,14,3,1,0,0,0
17844,0,0,0,0,0,0,0,0,0,0
17845,2,0,51,0,251,181,24,303,76,101
17846,1,0,0,0,111,31,28,106,25,25
17847,14,0,0,0,112,171,0,0,0,0
17848,0,0,0,0,0,0,4,0,0,0
17849,1,0,0,0,119,1,17,102,96,96
17850,0,0,0,0,37,8,10,0,0,0
17851,0,0,0,0,4,1,5,0,0,0
17852,0,0,0,0,0,1,0,0,0,0
17853,0,0,0,0,6,3,7,0,0,0
17854,1,0,0,0,110,25,36,102,274,274
17855,0,0,0,0,7,10,0,0,0,0
17856,3,0,0,0,302,126,0,0,0,0
17857,0,0,0,0,0,0,0,0,0,0
17858,0,0,0,0,23,6,59,0,0,0
17859,0,0,0,0,8,25,0,0,0,0
17860,0,0,0,0,238,62,58,205,32,59
17861,0,0,0,0,17,69,0,0,191,191
17862,0,0,0,0,10,1,9,0,0,0
17863,4,0,82,0,466,378,20,716,44,44
17864,0,0,0,0,2,0,0,0,0,0
17865,54,0,0,0,348,116,28,0,0,0
17866,2,0,0,0,31,12,30,0,0,0
17867,76,1,82,0,4094,505,46,4278,2948,5067
17868,4,0,0,0,118,106,18,143,245,304
17869,1,0,0,0,11,1,0,0,0,0
17870,0,0,0,0,0,0,49,0,0,0
17871,0,0,0,0,3,1,23,0,0,0
17872,4,1,0,0,988,117,23,1044,168,200
17873,0,0,0,0,13,3,0,0,0,0
17874,220,0,0,0,4701,164,30,3510,619,242
17875,1,0,0,0,4,1,0,0,0,0
17876,0,1,0,0,1778,232,0,0,6,8
17877,0,0,58,0,29,17,0,0,2054,2054
17878,0,0,0,0,26,19,18,0,0,0
17879,34,0,0,0,1680,546,0,2026,324,342
17880,0,0,0,0,5,0,0,0,0,0
17881,12,0,0,0,1241,296,44,1373,834,933
17882,82,4,0,0,2155,682,0,0,1817,55
17883,0,0,0,0,0,0,15,0,0,0
17884,0,0,0,0,0,1,22,0,0,0
17885,1,0,0,0,389,145,10,121,198,172
17886,0,0,0,0,9,1,0,0,0,0
17887,0,0,0,0,61,2,40,0,0,0
17888,1,0,0,0,44,8,0,0,77,77
17889,0,0,0,0,41,7,0,0,0,0
17890,0,0,0,0,31,24,0,0,0,0
17891,0,0,0,0,1,0,3,0,0,0
17892,0,0,0,0,11,7,0,0,0,0
17893,0,0,0,0,0,0,9,0,0,0
17894,1,1,0,0,187,29,21,163,0,0
17895,0,0,0,0,2,0,16,0,0,0
17896,0,0,0,0,0,0,0,0,0,0
17897,6,0,0,0,58,19,31,0,0,0
17898,0,0,0,0,25,14,0,0,0,0
17899,0,0,0,0,14,2,0,0,0,0
17900,1,0,0,0,10,1,0,0,0,0
17901,5,0,0,0,362,53,25,395,0,0
17902,0,0,0,0,11,1,0,0,0,0
17903,0,0,0,0,3,0,0,0,0,0
17904,0,0,0,0,6,3,0,0,0,0
17905,1,1,0,0,0,0,0,0,30,30
17906,0,0,0,0,0,0,0,0,0,0
17907,0,0,0,0,16,2,0,0,0,0
17908,0,0,0,0,2,0,0,0,0,0
17909,0,0,0,0,0,0,0,0,0,0
17910,6,0,0,0,181,14,155,179,0,0
17911,7179,11,0,0,100660,13648,30,84958,4567,649
17912,46,3,69,0,1051,177,12,992,1108,2162
17913,74,0,0,0,10686,1919,0,8383,374,131
17914,0,0,0,0,22,0,0,0,0,0
17915,0,0,0,0,39,12,0,0,150,150
17916,0,0,0,0,0,0,0,0,0,0
17917,0,0,0,0,0,2,0,0,0,0
17918,0,0,0,0,70,22,20,0,6,6
17919,0,0,0,0,0,0,0,0,0,0
17920,0,0,0,0,7,0,9,0,0,0
17921,0,8,0,0,83,3,28,0,0,0
17922,0,0,0,0,76,12,0,0,0,0
17923,6,1,79,0,1140,137,39,865,7,11
17924,2,0,0,0,245,239,0,196,238,216
17925,2,0,0,0,110,5,0,101,0,0
17926,0,0,0,0,21,27,0,0,0,0
17927,0,0,0,0,3,1,0,0,0,0
17928,0,0,0,0,3,0,0,0,0,0
17929,0,0,0,0,8,3,0,0,0,0
17930,5,1,0,0,110,18,18,107,24,24
17931,962,0,0,0,1445,188,0,0,0,0
17932,0,1,0,0,44,25,11,0,0,0
17933,3,0,76,0,132,19,0,132,0,0
17934,0,0,0,0,1,2,12,0,0,0
17935,0,0,0,0,3,0,0,0,0,0
17936,0,0,0,0,28,12,0,0,0,0
17937,1,0,0,0,3,2,5,0,0,0
17938,0,0,0,0,0,0,0,0,0,0
17939,0,0,0,0,9,16,9,0,0,0
17940,0,0,0,0,0,1,0,0,0,0
17941,0,2,0,0,313,38,22,309,242,242
17942,0,0,0,0,0,0,0,0,0,0
17943,16,9,0,0,3934,568,50,3771,346,197
17944,0,0,0,0,6,3,0,0,0,0
17945,2,0,70,0,44,27,33,0,326,342
17946,1,0,0,0,5,1,0,0,0,0
17947,1,2,0,0,0,0,21,0,0,0
17948,0,0,0,0,638,67,0,594,249,246
17949,0,0,0,0,34,13,11,0,0,0
17950,0,0,0,0,41,4,0,0,0,0
17951,0,0,0,0,8,0,0,0,0,0
17952,0,0,0,0,34,12,5,0,0,0
17953,0,0,0,0,2,0,8,0,0,0
17954,0,0,0,0,29,18,0,0,274,274
17955,0,0,0,0,0,0,100,0,0,0
17956,0,0,0,0,9,3,0,0,0,0
17957,0,0,0,0,65,58,32,116,13,13
17958,0,0,0,0,20,19,0,0,0,0
17959,0,1,0,0,89,11,32,0,346,346
17960,182,1,0,0,335,238,45,569,239,239
17961,0,0,0,0,16,4,8,0,0,0
17962,0,0,0,0,2,0,17,0,0,0
17963,0,0,0,0,0,0,0,0,0,0
17964,0,0,0,0,0,0,0,0,0,0
17965,0,0,0,0,4,2,0,0,0,0
17966,6,1,0,0,486,348,19,249,617,273
17967,0,0,0,0,169,91,0,230,70,70
17968,0,1,0,0,0,0,0,0,0,0
17969,0,0,0,0,262,64,11,152,0,0
17970,0,0,0,0,0,1,6,0,0,0
17971,1,0,0,0,44,15,0,0,36,36
17972,7,0,0,0,430,117,38,510,485,485
17973,0,0,53,0,30,35,21,0,0,0
17974,0,0,0,0,1,1,22,0,0,0
17975,0,1,0,0,0,0,0,0,0,0
17976,2,0,0,0,178,138,25,122,268,282
17977,3,0,0,0,21,5,0,0,0,0
17978,0,0,0,0,115,9,0,117,1,1
17979,0,0,0,0,174,167,1,0,0,0
17980,0,0,0,0,15,11,0,0,0,0
17981,0,0,0,0,7,0,10,0,0,0
17982,0,0,0,0,0,2,4,0,0,0
17983,0,0,0,0,2,0,0,0,0,0
17984,0,0,0,0,5,1,10,0,0,0
17985,0,9,0,0,0,0,10,0,0,0
17986,0,0,0,0,14,1,0,0,0,0
17987,0,0,0,0,1,7,0,0,0,0
17988,0,0,0,0,0,0,0,0,0,0
17989,0,0,0,0,0,0,0,0,0,0
17990,0,0,0,0,9,3,15,0,0,0
17991,7,0,0,0,365,58,17,0,3,3
17992,0,0,0,0,10,2,0,0,0,0
17993,0,0,0,0,214,77,0,221,1,1
17994,0,0,0,0,5,7,0,0,0,0
17995,6,0,0,0,0,0,0,261,0,0
17996,0,0,0,0,49,19,20,0,0,0
17997,89,9,74,0,3250,2613,104,3126,422,415
17998,5,0,77,0,565,47,0,555,0,0
17999,3,0,0,0,296,33,11,309,183,183
18000,11,2,0,0,2192,121,26,2178,7259,10842
18001,1,0,0,0,111,11,0,0,0,0
18002,0,0,0,0,3,1,0,0,0,0
18003,0,0,0,0,101,4,30,0,553,553
18004,0,0,0,0,10,0,0,0,0,0
18005,0,0,0,0,34,32,24,0,304,304
18006,0,0,0,0,2,0,0,0,0,0
18007,0,0,0,0,0,0,0,0,0,0
18008,0,0,0,0,52,16,20,0,0,0
18009,0,0,57,0,343,349,129,537,335,421
18010,0,0,0,0,26,8,8,0,0,0
18011,0,0,0,0,5,7,0,0,0,0
18012,2,0,0,0,89,41,0,116,10,10
18013,0,2,0,0,26,3,25,0,0,0
18014,0,1,0,0,82,131,18,0,198,213
18015,0,0,0,0,60,50,8,0,186,243
18016,0,0,0,0,18,5,12,0,0,0
18017,0,0,0,0,7,1,28,0,0,0
18018,0,0,0,0,7,0,0,0,0,0
18019,5,0,71,0,1379,132,18,1346,311,394
18020,1,0,0,0,32,8,0,0,0,0
18021,0,0,0,0,0,0,0,0,0,0
18022,0,0,0,0,1,1,0,0,0,0
18023,0,0,0,0,11,0,32,0,0,0
18024,0,0,0,0,209,235,0,0,99,161
18025,0,0,0,0,5,1,0,0,0,0
18026,0,0,0,0,0,0,0,0,0,0
18027,0,0,0,0,39,8,9,0,175,226
18028,2,0,0,0,188,86,5,0,0,0
18029,0,0,0,0,9,10,100,0,0,0
18030,0,0,0,0,15,0,47,0,0,0
18031,1,1,0,0,99,1,25,0,158,158
18032,0,1,0,0,51,5,0,0,0,0
18033,0,0,0,0,0,0,0,0,0,0
18034,0,1,0,0,2,5,0,0,0,0
18035,1,0,0,0,0,0,0,0,0,0
18036,23,1,0,0,614,176,34,702,351,528
18037,1,0,0,0,17,0,25,0,0,0
18038,0,0,0,0,0,0,0,0,0,0
18039,1,0,0,0,44,4,9,0,0,0
18040,0,0,0,0,0,0,0,0,0,0
18041,0,0,0,0,1,1,0,0,0,0
18042,1,0,0,0,165,184,72,321,11,11
18043,0,0,0,0,47,5,10,0,0,0
18044,0,0,0,0,3,1,0,0,0,0
18045,0,0,0,0,75,25,25,0,0,0
18046,0,0,0,0,0,5,0,0,0,0
18047,0,0,0,0,6,14,32,0,0,0
18048,4,1,0,0,116,132,7,253,45,67
18049,0,0,0,0,0,0,0,0,0,0
18050,1,0,0,0,8,1,0,0,0,0
18051,6,0,0,0,468,231,0,607,99,100
18052,0,0,0,0,21,4,25,0,0,0
18053,0,0,0,0,225,18,24,213,180,180
18054,0,0,0,0,1,0,0,0,0,0
18055,0,0,0,0,0,0,0,0,0,0
18056,0,0,0,0,1,0,0,0,0,0
18057,0,0,0,0,4,1,11,0,0,0
18058,0,0,0,0,2,6,0,0,0,0
18059,0,0,0,0,1,2,0,0,0,0
18060,0,0,0,0,0,0,3,0,0,0
18061,0,0,0,0,31,17,0,0,0,0
18062,0,0,0,0,1,6,10,0,0,0
18063,0,0,0,0,12,5,0,0,0,0
18064,0,0,0,0,57,15,31,0,0,0
18065,1,0,0,0,22,2,16,0,0,0
18066,0,0,0,0,4,1,38,0,0,0
18067,4,0,76,0,862,261,27,968,112,114
18068,0,0,0,0,0,0,0,0,0,0
18069,0,0,0,0,4,1,0,0,0,0
18070,4,0,0,0,771,131,10,873,262,427
18071,0,0,0,0,18,18,0,0,0,0
18072,1,0,0,0,62,18,5,0,264,264
18073,0,0,0,0,22,0,16,0,0,0
18074,0,0,0,0,32,11,0,0,0,0
18075,0,0,0,0,8,5,26,0,31,31
18076,0,0,0,0,22,8,9,0,0,0
18077,0,0,0,0,10,1,26,0,0,0
18078,0,0,0,0,0,0,0,0,0,0
18079,0,0,0,0,0,0,0,0,0,0
18080,0,0,0,0,18,4,19,0,0,0
18081,0,0,0,0,13,1,13,0,0,0
18082,0,0,0,0,12,3,17,0,0,0
18083,0,0,0,0,239,9,0,0,0,0
18084,0,0,0,0,10,1,0,0,0,0
18085,1,0,0,0,0,0,49,0,0,0
18086,0,1,32,0,67,43,53,0,233,238
18087,0,0,0,0,5,1,9,0,0,0
18088,0,0,0,0,12,1,48,0,0,0
18089,0,3,0,0,348,38,22,341,109,158
18090,0,0,0,0,9,1,7,0,0,0
18091,0,0,0,0,2,0,0,0,0,0
18092,0,0,0,0,23,16,21,0,114,127
18093,0,0,0,0,0,0,0,0,0,0
18094,0,0,0,0,29,1,0,0,0,0
18095,0,0,0,0,7,0,0,0,0,0
18096,0,0,0,0,47,24,15,0,0,0
18097,0,0,0,0,10,7,23,0,0,0
18098,0,0,0,0,0,0,0,0,0,0
18099,1,1,0,0,134,4,13,127,0,0
18100,0,0,0,0,32,7,4,0,0,0
18101,0,0,0,0,23,3,0,0,0,0
18102,0,0,0,0,10,4,0,0,0,0
18103,5,17,0,0,1111,85,0,1072,221,221
18104,0,0,0,0,3,3,1,0,0,0
18105,4,0,0,0,627,54,23,638,31,31
18106,0,0,0,0,16,2,10,0,0,0
18107,0,5,0,0,49,4,0,0,0,0
18108,1,0,0,0,65,9,0,0,0,0
18109,3628,0,0,0,22599,5360,0,24111,3000,395
18110,0,19,0,0,36,23,20,0,1,1
18111,2,0,0,0,0,0,0,150,0,0
18112,0,0,0,0,119,18,16,0,261,261
18113,0,0,0,0,12,2,13,0,0,0
18114,0,0,0,0,3,0,0,0,0,0
18115,0,0,0,0,0,0,0,0,0,0
18116,1,0,0,0,204,53,0,219,8,8
18117,0,0,0,0,15,0,1,0,0,0
18118,0,0,0,0,0,0,0,0,0,0
18119,1165,260,0,0,19289,3175,0,19615,3373,427
18120,0,0,0,0,6,2,0,0,0,0
18121,0,0,0,0,5,1,10,0,0,0
18122,0,0,0,0,0,0,10,110,0,0
18123,0,0,0,0,2,1,0,0,0,0
18124,0,0,0,0,11,13,9,0,0,0
18125,0,0,0,0,22,2,20,0,0,0
18126,0,0,0,0,3,0,0,0,0,0
18127,0,0,0,0,1,0,0,0,0,0
18128,0,0,0,0,0,1,15,0,0,0
18129,0,0,0,0,0,0,66,0,0,0
18130,0,0,0,0,58,31,15,0,0,0
18131,0,0,0,0,0,0,1,0,0,0
18132,0,0,0,0,0,0,12,0,0,0
18133,0,0,0,0,2,0,7,0,0,0
18134,9,0,0,0,686,204,0,0,49,44
18135,2,0,0,0,2,0,0,0,0,0
18136,0,0,0,0,49,24,16,0,275,275
18137,28,1,0,0,105,23,55,120,1207,1207
18138,0,1,0,0,17,8,32,0,0,0
18139,0,0,0,0,20,4,0,0,0,0
18140,0,0,0,0,5,5,0,0,0,0
18141,0,0,0,0,13,2,0,0,0,0
18142,0,0,0,0,11,2,32,0,0,0
18143,0,0,0,0,13,5,28,0,0,0
18144,0,0,0,0,30,3,7,0,0,0
18145,1,1,0,0,178,46,10,127,35,35
18146,0,0,0,0,0,2,0,0,0,0
18147,6,9,67,0,4490,1357,69,4828,379,238
18148,0,0,0,0,186,91,34,158,263,261
18149,0,0,0,0,0,0,0,0,0,0
18150,298,11,71,0,6850,2451,40,7632,351,288
18151,0,0,0,0,0,0,22,0,0,0
18152,11,2,0,0,995,219,13,1137,207,279
18153,0,0,0,0,7,3,1,0,0,0
18154,0,0,0,0,0,0,10,0,0,0
18155,0,0,54,0,109,133,23,184,26,26
18156,1,0,0,0,143,21,13,0,4,4
18157,7,1,0,0,155,128,30,180,35,35
18158,0,0,0,0,9,5,0,0,0,0
18159,6,0,0,0,589,119,40,677,91,165
18160,5,0,0,0,78,9,75,0,70,70
18161,11,0,0,0,215,69,0,243,0,0
18162,1,0,0,0,23,25,55,0,217,217
18163,0,0,0,0,14,4,9,0,0,0
18164,1,0,0,0,18,7,24,0,0,0
18165,0,1,69,0,92,13,33,0,585,585
18166,0,0,0,0,116,38,154,0,52,79
18167,0,1,0,0,33,0,22,0,0,0
18168,0,0,0,0,3,3,20,0,0,0
18169,0,0,0,0,13,0,22,0,0,0
18170,0,0,0,0,17,1,6,0,0,0
18171,0,0,0,0,36,10,0,0,0,0
18172,0,0,0,0,10,5,11,0,0,0
18173,0,0,0,0,1,2,0,0,0,0
18174,1,0,0,0,301,238,7,202,186,215
18175,0,0,0,0,17,3,23,0,0,0
18176,0,0,0,0,8,2,0,0,0,0
18177,1,0,0,0,0,0,10,0,0,0
18178,1,0,0,0,0,0,0,230,9,18
18179,0,1,0,0,26,0,12,0,0,0
18180,0,0,0,0,9,26,0,0,0,0
18181,0,0,0,0,1,0,0,0,0,0
18182,27,0,0,0,374,63,0,0,0,0
18183,0,0,0,0,9,2,0,0,0,0
18184,21,149,0,0,1367,1784,56,649,2114,32
18185,0,0,0,0,7,7,15,0,0,0
18186,0,0,0,0,0,0,0,0,0,0
18187,0,1,0,0,48,15,12,0,0,0
18188,0,0,0,0,34,77,0,0,2,2
18189,0,1,0,0,2,1,31,0,0,0
18190,0,2,0,0,0,0,5,0,0,0
18191,0,0,0,0,21,11,0,0,0,0
18192,0,0,0,0,2,1,0,0,0,0
18193,0,0,0,0,0,0,0,0,0,0
18194,0,0,0,0,6,2,0,0,0,0
18195,2,0,0,0,28,4,41,0,0,0
18196,0,0,0,0,11,8,0,0,0,0
18197,0,0,0,0,10,1,13,0,0,0
18198,23,3,0,0,274,135,21,0,0,0
18199,0,0,0,0,2,0,0,0,0,0
18200,0,0,0,0,11,3,0,0,0,0
18201,0,0,0,0,2,1,0,0,0,0
18202,0,0,0,0,68,11,90,0,0,0
18203,1,0,0,0,34,25,0,0,0,0
18204,0,0,0,0,1,0,0,0,0,0
18205,0,0,0,0,25,10,12,0,0,0
18206,0,0,0,0,1,10,0,0,0,0
18207,0,0,0,0,0,0,0,0,0,0
18208,0,0,0,0,7,2,0,0,0,0
18209,0,0,0,0,0,0,12,0,0,0
18210,0,0,0,0,2,2,7,0,0,0
18211,0,0,0,0,22,9,0,0,0,0
18212,1,2,74,0,86,10,20,0,275,450
18213,2,0,0,0,59,25,12,0,0,0
18214,0,0,0,0,6,8,8,0,0,0
18215,0,1,0,0,0,0,27,3822,0,0
18216,0,0,0,0,327,89,0,0,5,5
18217,0,0,0,0,7,4,0,0,0,0
18218,0,1,0,0,8,2,28,0,0,0
18219,0,0,0,0,6,0,8,0,0,0
18220,0,0,0,0,0,0,0,0,0,0
18221,0,1,0,0,53,10,12,0,0,0
18222,0,0,0,0,8,1,0,0,0,0
18223,0,0,0,0,1,0,27,0,0,0
18224,0,0,0,0,42,32,0,0,0,0
18225,0,0,0,0,1,0,0,0,0,0
18226,0,0,0,0,2,0,0,0,0,0
18227,0,0,0,0,1,0,0,0,0,0
18228,4,18,0,0,470,92,41,534,32,64
18229,7,2,73,0,945,102,20,746,165,165
18230,0,0,0,0,0,0,0,0,0,0
18231,0,0,0,0,13,19,0,0,0,0
18232,0,0,0,0,1,1,0,0,0,0
18233,1,0,0,0,33,14,28,0,0,0
18234,5,0,0,0,1351,190,0,1440,62,98
18235,0,0,0,0,3,5,44,0,0,0
18236,0,0,0,0,26,1,14,0,0,0
18237,0,0,0,0,2,0,17,0,0,0
18238,29,0,0,0,4856,315,10,4777,76,46
18239,2,0,0,0,145,4,19,131,0,0
18240,0,0,0,0,2,2,0,0,0,0
18241,0,0,0,0,5,0,13,0,0,0
18242,0,0,0,0,0,0,0,0,0,0
18243,3,2,70,0,876,136,27,710,196,305
18244,0,0,0,0,3,2,0,0,0,0
18245,0,1,0,0,12,2,44,0,0,0
18246,0,0,0,0,7,4,29,0,0,0
18247,4,0,0,0,389,17,13,396,109,109
18248,0,0,0,0,10,6,32,0,0,0
18249,0,0,0,0,5,0,0,0,0,0
18250,0,0,0,0,2,4,1,0,0,0
18251,0,0,0,0,13,10,0,0,242,272
18252,0,0,0,0,75,39,8,0,183,183
18253,6,0,0,0,478,495,28,803,446,671
18254,0,0,0,0,22,1,50,0,0,0
18255,1,0,0,0,2,0,0,0,0,0
18256,33,3,0,0,619,362,18,616,644,644
18257,0,1,0,0,38,11,20,0,0,0
18258,0,0,0,0,8,3,0,0,0,0
18259,14,0,0,0,198,7,29,186,155,155
18260,0,0,0,0,1,1,0,0,0,0
18261,0,0,0,0,3,1,0,0,0,0
18262,0,0,0,0,5,0,6,0,0,0
18263,0,0,0,0,8,1,0,0,0,0
18264,0,0,0,0,109,105,0,0,212,223
18265,0,0,0,0,0,0,0,0,0,0
18266,0,0,0,0,4,3,0,0,0,0
18267,0,0,0,0,0,0,0,0,0,0
18268,0,0,0,0,17,13,0,0,0,0
18269,0,0,0,0,14,11,0,0,0,0
18270,2,0,0,0,456,54,0,381,0,0
18271,0,0,0,0,16,1,10,0,0,0
18272,0,0,0,0,6,0,0,0,0,0
18273,0,0,0,0,45,4,0,0,0,0
18274,0,0,0,0,23,12,0,0,0,0
18275,1,0,0,0,16,0,0,0,0,0
18276,0,0,0,0,11,4,17,0,0,0
18277,1,0,0,0,18,2,33,0,0,0
18278,0,0,0,0,3,1,0,0,0,0
18279,0,0,0,0,15,48,51,0,597,597
18280,0,0,0,0,5,0,63,0,0,0
18281,0,0,0,0,0,0,0,0,0,0
18282,0,0,0,0,36,32,0,0,0,0
18283,21,8,0,0,3624,616,57,408,179,42
18284,0,0,0,0,19,8,11,0,0,0
18285,0,1,0,0,28,2,12,0,0,0
18286,0,0,0,0,4,0,0,0,0,0
18287,4,2,0,0,154,23,19,167,0,0
18288,0,0,0,0,109,8,20,0,0,0
18289,1,0,0,0,40,62,0,0,253,292
18290,0,0,0,0,103,10,0,108,5,5
18291,0,0,0,0,5,1,0,0,0,0
18292,151,0,0,0,3561,414,0,0,0,0
18293,1,0,0,0,38,4,11,0,0,0
18294,1,0,0,0,0,0,7,0,0,0
18295,0,1,0,0,3,0,0,0,0,0
18296,0,0,0,0,18,31,0,0,0,0
18297,1,0,0,0,11,1,0,0,0,0
18298,0,0,0,0,0,0,0,0,0,0
18299,1,0,57,0,40,104,0,116,0,0
18300,5,0,0,0,186,12,75,186,1,1
18301,0,1,0,0,12,6,70,0,0,0
18302,3,0,0,0,117,20,98,0,36,36
18303,0,1,0,0,96,35,0,0,0,0
18304,1,1,0,0,245,134,1,340,936,1671
18305,0,0,0,0,15,4,100,0,0,0
18306,0,0,0,0,78,28,55,0,229,229
18307,0,0,0,0,3,1,19,0,0,0
18308,0,0,0,0,0,0,0,0,0,0
18309,0,0,0,0,77,32,14,0,0,0
18310,1,0,0,0,3,3,12,0,0,0
18311,4,5,0,0,77,20,0,0,41,41
18312,0,1,0,0,5,10,1,0,0,0
18313,0,0,0,0,203,106,15,145,164,221
18314,0,0,0,0,34,26,33,0,1533,1533
18315,0,0,0,0,2,10,0,0,0,0
18316,0,0,0,0,0,2,8,0,0,0
18317,0,0,0,0,11,2,0,0,262,267
18318,0,0,0,0,8,13,4,0,0,0
18319,0,0,0,0,0,2,0,0,0,0
18320,0,0,0,0,2,0,0,0,0,0
18321,0,0,0,0,4,8,0,0,0,0
18322,0,0,0,0,128,190,11,109,321,456
18323,0,0,0,0,1,2,0,0,0,0
18324,0,0,0,0,0,1,0,0,0,0
18325,16,23,0,0,697,195,41,709,107,107
18326,0,1,0,0,20,3,16,0,0,0
18327,0,0,0,0,12,0,0,0,0,0
18328,0,0,0,0,2,1,7,0,0,0
18329,0,0,0,0,330,90,20,162,170,191
18330,0,0,0,0,0,0,1,0,0,0
